
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         24 K
Registry                        96 Services                   0     20,176 K
smss.exe                       404 Services                   0        356 K
csrss.exe                      560 Services                   0      1,764 K
wininit.exe                    672 Services                   0      1,080 K
services.exe                   800 Services                   0      5,844 K
lsass.exe                      836 Services                   0     10,776 K
svchost.exe                    960 Services                   0        360 K
svchost.exe                    988 Services                   0     21,836 K
WUDFHost.exe                  1012 Services                   0      4,852 K
fontdrvhost.exe                 68 Services                   0        528 K
svchost.exe                   1032 Services                   0     11,204 K
svchost.exe                   1084 Services                   0      3,372 K
svchost.exe                   1284 Services                   0      3,048 K
svchost.exe                   1276 Services                   0      4,088 K
svchost.exe                   1292 Services                   0      3,712 K
svchost.exe                   1436 Services                   0      4,292 K
svchost.exe                   1496 Services                   0      1,968 K
svchost.exe                   1600 Services                   0     10,440 K
svchost.exe                   1644 Services                   0      8,132 K
svchost.exe                   1712 Services                   0      9,460 K
svchost.exe                   1740 Services                   0      4,940 K
svchost.exe                   1868 Services                   0      2,644 K
svchost.exe                   1876 Services                   0      2,960 K
svchost.exe                   1984 Services                   0      3,100 K
svchost.exe                   1992 Services                   0      5,228 K
svchost.exe                   2012 Services                   0      3,568 K
NVDisplay.Container.exe       2072 Services                   0      4,504 K
dasHost.exe                   2144 Services                   0     10,604 K
QQPCRTP.exe                   2188 Services                   0     19,888 K
svchost.exe                   2204 Services                   0      7,844 K
svchost.exe                   2284 Services                   0      5,040 K
svchost.exe                   2336 Services                   0      5,204 K
svchost.exe                   2532 Services                   0      3,064 K
svchost.exe                   2668 Services                   0      4,372 K
svchost.exe                   2756 Services                   0      1,208 K
svchost.exe                   2764 Services                   0      5,296 K
svchost.exe                   2772 Services                   0      3,212 K
Memory Compression            2952 Services                   0     74,256 K
svchost.exe                   2984 Services                   0      4,260 K
igfxCUIService.exe            3044 Services                   0      1,820 K
svchost.exe                   1980 Services                   0      4,040 K
svchost.exe                   2132 Services                   0      4,064 K
svchost.exe                   3176 Services                   0      3,640 K
svchost.exe                   3212 Services                   0      8,416 K
svchost.exe                   3288 Services                   0      5,076 K
svchost.exe                   3384 Services                   0      5,348 K
svchost.exe                   3392 Services                   0      2,196 K
svchost.exe                   3516 Services                   0     10,864 K
svchost.exe                   3620 Services                   0      8,240 K
svchost.exe                   3744 Services                   0      6,128 K
spoolsv.exe                   3800 Services                   0      4,616 K
svchost.exe                   3852 Services                   0      2,820 K
svchost.exe                   3324 Services                   0        728 K
ZeroConfigService.exe         3668 Services                   0      3,796 K
svchost.exe                   3988 Services                   0      8,384 K
svchost.exe                   4008 Services                   0     12,816 K
svchost.exe                   3572 Services                   0     22,404 K
SASrv.exe                     4104 Services                   0      1,660 K
svchost.exe                   4112 Services                   0      1,096 K
svchost.exe                   4120 Services                   0      3,212 K
svchost.exe                   4128 Services                   0      5,852 K
svchost.exe                   4136 Services                   0     24,448 K
svchost.exe                   4144 Services                   0      2,396 K
svchost.exe                   4152 Services                   0     10,948 K
QQProtect.exe                 4168 Services                   0      8,000 K
AsBhcSrv.exe                  4176 Services                   0      1,228 K
esif_uf.exe                   4192 Services                   0      1,064 K
svchost.exe                   4204 Services                   0      1,372 K
svchost.exe                   4660 Services                   0      3,528 K
svchost.exe                   4932 Services                   0      1,900 K
CxAudMsg64.exe                4592 Services                   0      1,932 K
svchost.exe                   4648 Services                   0      4,196 K
svchost.exe                   6072 Services                   0      3,368 K
svchost.exe                   4472 Services                   0      3,820 K
unsecapp.exe                  5668 Services                   0      1,920 K
WmiPrvSE.exe                  6216 Services                   0      5,652 K
RegSrvc.exe                   6668 Services                   0      1,648 K
PresentationFontCache.exe     6888 Services                   0      3,528 K
svchost.exe                   3968 Services                   0      1,388 K
svchost.exe                   7332 Services                   0      8,960 K
svchost.exe                   7968 Services                   0     12,036 K
SearchIndexer.exe             9092 Services                   0     47,252 K
svchost.exe                   8616 Services                   0      8,376 K
svchost.exe                   9132 Services                   0      6,036 K
svchost.exe                   9992 Services                   0      2,740 K
